sex,test,test_name,short_name,long_name,system,unit,unit_source,unit_confidence,nhanes_name,age_bin,age_lo,age_hi,age_mid,scale_type,axis_column,is_log_scale,stats_n_total,n_age_years_present,age_years_present,density_points_used,weighting_method,has_density_data,raw_min,raw_max,q0,q1,q2,q3,q4,raw_q0,raw_q1,raw_q2,raw_q3,raw_q4
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,50-54,50,54,52.0,log,log_x,True,2145.0,5,50|51|52|53|54,150,stats_n,True,3.0,306.0,1.0986122886681098,3.587008552710681,3.8589202115634853,4.1369070241663755,5.723585101952381,3.0,36.125845561691506,47.414126492302124,62.60887393228381,306.0
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,50-54,50,54,52.0,regular,x,False,2145.0,5,50|51|52|53|54,150,stats_n,True,3.0,306.0,0.919373736283223,36.15583433540416,47.81936206043516,62.67190700097883,306.0,0.919373736283223,36.15583433540416,47.81936206043516,62.67190700097883,306.0
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,55-59,55,59,57.0,log,log_x,True,2552.0,5,55|56|57|58|59,150,stats_n,True,3.0,306.100006103516,1.0986122886681098,3.5740191264363546,3.856350582862864,4.132129451123642,5.723911865890981,3.0,35.659626071249015,47.292446195598465,62.31046885756563,306.100006103516
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,55-59,55,59,57.0,regular,x,False,2552.0,5,55|56|57|58|59,150,stats_n,True,3.0,306.100006103516,2.29552639859314,35.76728433785393,47.7138251106958,62.36606861478645,306.100006103516,2.29552639859314,35.76728433785393,47.7138251106958,62.36606861478645,306.100006103516
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,60-64,60,64,62.0,log,log_x,True,2511.0,5,60|61|62|63|64,150,stats_n,True,2.59999990463257,205.0,0.955511408347655,3.5925669432740364,3.8934380690140995,4.16308773215206,5.3230099791384085,2.59999990463257,36.327206222923074,49.0793349298379,64.26966404673301,205.0
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,60-64,60,64,62.0,regular,x,False,2511.0,5,60|61|62|63|64,150,stats_n,True,2.59999990463257,205.0,2.31423502716208,36.661433267861746,49.51430930793644,64.36977840512702,205.0,2.31423502716208,36.661433267861746,49.51430930793644,64.36977840512702,205.0
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,65-69,65,69,67.0,log,log_x,True,2295.0,5,65|66|67|68|69,150,stats_n,True,2.5,267.0,0.9162907318741551,3.55196660409922,3.8147167234738473,4.0584351773550775,5.58724865840025,2.5,34.88184886543761,45.36390403350141,57.88366250712549,267.0
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,65-69,65,69,67.0,regular,x,False,2295.0,5,65|66|67|68|69,150,stats_n,True,2.5,267.0,0.484121542455117,34.92931473107033,45.72503972469661,57.952310882827234,267.0,0.484121542455117,34.92931473107033,45.72503972469661,57.952310882827234,267.0
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,70-74,70,74,72.0,log,log_x,True,1920.0,5,70|71|72|73|74,150,stats_n,True,2.79999995231628,260.0,1.0296194001512582,3.6206306382092843,3.907525508522085,4.19681794927922,5.560681631015528,2.79999995231628,37.361121745185315,49.77563008440057,66.47446900980106,260.0
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,70-74,70,74,72.0,regular,x,False,1920.0,5,70|71|72|73|74,150,stats_n,True,2.79999995231628,260.0,-5.82556980010068,37.39620637995213,50.5661085718944,66.76270732349985,260.0,-5.82556980010068,37.39620637995213,50.5661085718944,66.76270732349985,260.0
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,75-79,75,79,77.0,log,log_x,True,1149.0,5,75|76|77|78|79,150,stats_n,True,2.79999995231628,246.0,0.3872057678349,3.550194642219395,3.8531423307399204,4.2126935554533,6.58633728025975,1.4728595272105678,34.82009428848669,47.14096323239438,67.53821294873397,725.1200883632469
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,75-79,75,79,77.0,regular,x,False,1149.0,5,75|76|77|78|79,150,stats_n,True,2.79999995231628,246.0,-68.2852765656868,35.02742459613655,48.792373201953716,68.62203160870659,246.0,-68.2852765656868,35.02742459613655,48.792373201953716,68.62203160870659,246.0
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,80-84,80,84,82.0,log,log_x,True,547.0,3,81|82|83,90,stats_n,True,3.0,144.0,1.0986122886681098,3.331466488454838,3.962247435280204,4.780812000384382,5.29866959091644,3.0,27.979343015419023,52.57535297351236,119.2011020988683,200.07045728133787
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,80-84,80,84,82.0,regular,x,False,547.0,5,80|81|82|83|84,150,stats_n,True,3.0,144.0,-34.1466403466071,31.437654263479725,50.30534686939121,73.64419645994766,165.036164110291,-34.1466403466071,31.437654263479725,50.30534686939121,73.64419645994766,165.036164110291
