Test Name (Clalit),Test Name (NHANES),Clalit ID,NHANES ID,In Clalit,In NHANES,Mapping Status
,Alanine aminotransferase ALT (U/L),,alanine aminotransferase alt,,V,NHANES Only
,Albumin (g/L),,albumin__g/l,,V,NHANES Only
,Aspartate aminotransferase AST (U/L),,aspartate aminotransferase ast,,V,NHANES Only
,"Beta 2 Microglobulin, mg/L",,beta 2 microglobulin mg/l,,V,NHANES Only
,"Bilirubin, total (mg/dL)",,bilirubin total__mg/dl,,V,NHANES Only
,"Bilirubin, total (umol/L)",,bilirubin total__umol/l,,V,NHANES Only
,Glycated Albumin g/dL,,glycated albumin g/dl,,V,NHANES Only
,Lactate dehydrogenase (U/L),,lactate dehydrogenase,,V,NHANES Only
,Percent glycated albumin%,,percent glycated albumin%,,V,NHANES Only
,"Sex Hormone Binding Globulin (SHBG, nmol/L)",,"sex hormone binding globulin__shbg,nmol/l",,V,NHANES Only
,Sex Hormone Binding Globulin (nmol/L),,sex hormone binding globulin__nmol/l,,V,NHANES Only
,Total protein (g/L),,total protein__g/l,,V,NHANES Only
,Fibrinogen (g/L),,fibrinogen,,V,NHANES Only
,25-hydroxyvitamin D2 (nmol/L),,25-hydroxyvitamin d2,,V,NHANES Only
,25-hydroxyvitamin D2 + D3,,25-hydroxyvitamin d2 + d3,,V,NHANES Only
,25-hydroxyvitamin D3 (nmol/L),,25-hydroxyvitamin d3,,V,NHANES Only
,4-pyridoxic acid (nmol/L),,4-pyridoxic acid,,V,NHANES Only
,5-Formyl-tetrahydrofolate (nmol/L),,5-formyl-tetrahydrofolate,,V,NHANES Only
,5-Methyl-tetrahydrofolate (nmol/L),,5-methyl-tetrahydrofolate,,V,NHANES Only
,Alpha-carotene (ug/dL),,alpha-carotene__ug/dl,,V,NHANES Only
,Alpha-carotene (umol/L),,alpha-carotene__umol/l,,V,NHANES Only
,Blood selenium (ug/L),,blood selenium__ug/l,,V,NHANES Only
,Blood selenium (umol/L),,blood selenium__umol/l,,V,NHANES Only
,"Folate, RBC (nmol/L RBC)",,folate rbc__nmol/lrbc,,V,NHANES Only
,"Folate, serum (ng/mL)",,folate serum__ng/ml,,V,NHANES Only
